,Comments,Comment ID,Reply Count,Like Count,Updated At,Viewer Rating
0,"Sooo.... you are saying ...nothing new here.  Myself, my friends and I bet billions around the world when we fall in love is with someone as a package, the soul being the top most important aspect. You love them because of their inner being.",UgxiL7p2wONqUB3Nath4AaABAg,0,0,2022-05-11T13:03:08Z,none
1,"It’s so odd to me how people have to label things so much now.  I came out as gay, but after that I feel like everything’s else was just … well … me.  I’m a little NB, I’m a little pan, I’m a little poly… but I don’t feel the need to tell everyone about it and label it. It seems restrictive and silly for me now to announce these things now.  You’re right.   Don’t feel like you need to come out every time some feelings change.  They’re just you.  I think it’s a point that comes when you’re happy with yourself and love you too.  Just my feelings on it now. I’m me and I don’t need to define that for you.  xo",UgxQiEdEGYCqI_CvoId4AaABAg,0,0,2022-05-06T16:09:34Z,none
2,"They did their best with all the technology Western civilisation has to offer, but they couldn't hide that rock solid male chin and that aggressive male jaw.",Ugwyvn0XDDjpGlabPll4AaABAg,0,1,2022-04-27T23:15:32Z,none
3,JLove purfume by Jennifer Lopez Megan fox I love that purfume can you do a video with Megan fox,UgzYHbdmZ83p_7yyBnF4AaABAg,0,0,2022-04-26T22:14:25Z,none
4,"USA : don't put labels on people ! don't be racist ! don't be homobphobic ! 
also USA : let's make more labels for people !!!",Ugx4ceVWEboUqJGQDfF4AaABAg,0,0,2022-04-25T11:01:41Z,none
5,LMAO,UgxcZ8bweIkyuRX9qnF4AaABAg,0,1,2022-04-18T14:16:56Z,none
6,Why even label yourself. You are you and you love who you are. Who cares what people think?,Ugx54qZkYknDHvtSJEd4AaABAg,0,0,2022-04-14T14:39:13Z,none
7,Remember way back when ✨ so proud of you,UgzB22myIUj3Zsmkufp4AaABAg,0,0,2022-03-28T22:30:46Z,none
8,"Gigi really said ""I am LGBT.""",Ugy3CQe8q5knku8DZZh4AaABAg,1,1,2022-03-23T15:48:14Z,none
9,The icon,UgyX4n7jbRstIR0k7v54AaABAg,0,0,2022-03-18T07:31:08Z,none
10,Can I just say you are gorgeous! You are who you are and never change. You are amazing and should be very proud of yourself. 💖💖💖,UgyAQ80-UtqqE28t7tl4AaABAg,0,0,2022-03-04T10:25:15Z,none
11,Love you,UgzZUPwjC-Pl-7kFuMt4AaABAg,0,0,2022-03-01T03:28:58Z,none
12,"Wtf im so lost , i think ur bi polar tbh😂😂😂😂",Ugx7uVYRcQwhTf_flgV4AaABAg,0,1,2022-02-28T05:06:51Z,none
13,Can’t you just come out as a human and all the rest is whatever you wanna do with it ♥️♥️,Ugx-5xTml5S4jD7B3MR4AaABAg,0,0,2022-02-24T08:18:36Z,none
14,Wow this has been quite a journey to watch! You must feel a sense of completion every time you discover something new about yourself,UgwOC4jkg-WdGsJPHu14AaABAg,0,0,2022-02-22T18:42:11Z,none
15,"Maybe stop ""coming out"" to your public audience ? Literally no one cares anymore what you are/like. Just take your time to discover who you are before making public announcements, because you don't owe anyone anything.",UgyDhf7To1co2-biDX14AaABAg,0,2,2022-02-16T19:48:39Z,none
16,"THANK YOU 😭 This is beautiful! I am struggling with my identity and this make me feel so much better 😀 Again, thank you!",Ugwlr9oj3Fk2F_FF5KF4AaABAg,0,0,2022-01-26T23:13:24Z,none
17,💥mind blowing fr 💥,UgxTKLqIEd5fzZMbHgJ4AaABAg,0,0,2022-01-19T19:12:55Z,none
18,You all know she is using a STRONG filter in this video.,UgwU5f1CuRfCVdcPOi14AaABAg,0,3,2022-01-16T17:21:22Z,none
19,Sounds dumb.,Ugx0K94VO5jl07N2fP54AaABAg,0,5,2022-01-13T19:39:28Z,none
20,Have not remembered this creature for years.,Ugzer1e-bnO14AVhsbR4AaABAg,0,3,2022-01-13T11:38:11Z,none
21,Taking down videos = loss of YouTube adsense money... PS : girls don't have penises 😊🤣😂😉,UgwrgOVDxmSjV2W7JFZ4AaABAg,0,3,2022-01-09T23:00:23Z,none
22,You are very confusing.. All I know is that you are a Gay individual,UgyaB5qCJN8UrYBWWcN4AaABAg,0,6,2022-01-09T22:58:48Z,none
23,"Gigi u legit inspired me, cuz im androsexual and ive been attracted to masculine women, and they dont usually go for us trans girls",UgzWBTnEh59dN97da594AaABAg,0,1,2022-01-08T04:38:34Z,none
24,You guys are just straight with extra steps lmao,Ugz9gRpqdzqNB33qfq14AaABAg,0,8,2021-12-29T03:36:18Z,none
25,Our life journey can change at any moment and that's the beauty of it!,UgznA8xgwbp3ysafmtN4AaABAg,0,1,2021-12-20T01:54:22Z,none
26,"labels just complicate things, just do you and love who you love, you dont owe anyone an explenation",Ugw_hr4xjMpBw41QuH14AaABAg,0,4,2021-12-17T15:17:58Z,none
27,"GIGI, YOU ARE A TWINFLAME, a STARSEED!!! YOU HAVE A MISSION ON EARTH, A DIVINE MISSION!!! You are AN EMPRESS as I AM!!! You are THE DIVINE FEMININE!!! And your husband is THE DIVINE MASCULINE,  AN EMPEROR!!! Both are living IN PARADISE and building AN EMPIRE to show the world WHAT LOVE IS, WHAT DIVINE LOVE IS!!! And to help HUMANITY!!! To HELP PEOPLE!!!",UgxHDJ__LX0CG0XnAUl4AaABAg,0,2,2021-12-12T10:10:53Z,none
28,"GIGI you are not PANSEXUAL at all. You are a LOVING BEING who feels attracted to human beings HEART TO HEART, SOUL TO SOUL. Forget about THE BODY, forget about THE GENDER (Gender it is an illusion!!!! there is no such a thing!!!), you feel more like a DEMISEXUAL LOVING BEING!!! If your heart and soul goes with a body with masculine or femenine genitals, you don't care, you can feel passion because you LOVE that being!!!! That's all!!! It is quite simple, darling!!! LOVE YOU SO MUCH!!!!",UgyEqEIOjftPDCOwKoR4AaABAg,0,2,2021-12-12T10:06:40Z,none
29,"Maybe both of you are TWINFLAMES, Femenine and Masculine energies that have to be equalized on the twinflame journey. Technically both are BEINGS and just SOULS with femenine energy and the other masculine energy. The divine masculine and the divine femenine. The Emperor and The Empress. SELF LOVE and GOD are THE KEY. It is ALL ABOUT UNIVERSAL LOVE, PURE DIVINE LOVE. That's a SOUL CONTRACT to express the whole world what LOVE is!!!!!",Ugxr-s7oMrR9Jlw9OP14AaABAg,0,2,2021-12-12T10:01:31Z,none
30,Some of my favorite memories is posting videos to get attention! Over and over again1,UgwugX9gAGTBups7Mm14AaABAg,0,1,2021-12-09T11:05:13Z,none
31,Pan gals unite!,UgxPLHlL7IcUjkhzj6V4AaABAg,0,2,2021-12-09T09:22:54Z,none
32,Do you worship Baphomet? Did you sell your soul to Satan? I think your fans should know,UgxJiTRPIpvsW98e3Tt4AaABAg,0,0,2021-11-23T22:27:49Z,none
33,"It s just missed up .what about beeing normal and the beauty of it , you re just lost and you don t really know who you are and you gonna contunie to come out each time in different gender .wishbthe young generation won t be affected buy lost people like you",UgzXbjiCPA8AQzEwO1d4AaABAg,0,2,2021-11-22T06:24:11Z,none
34,"It is confusing. Just like you can't understand depression. There is an interest, that's all. It is never about appearance, but that is the first impression. Who doesn't like beautiful beings? You are gorgeous on the inside and outside. Thank you for sharing! <3 U",Ugw-k97Ui4Off3tHyb14AaABAg,0,0,2021-11-21T09:56:13Z,none
35,Who needs labels? just call it love x,UgyUavIKZRA-lNXDY2h4AaABAg,0,2,2021-11-18T22:01:38Z,none
36,"Omg Love it GIgi, Having met you in the Flesh several time seeing you experiencing your eneergy  I know that when you say I love you to us strangers on teh internet that you mean. it you are a wonderful soul, with an extraordinary experience! I am so happy and blessed to know you. thank you for continuing to explore and being open to share it with all of us you rock!!",UgzC8XPzyGLx4KPSrwR4AaABAg,0,0,2021-11-12T00:33:20Z,none
37,Love you Gigi and I love that you don’t shy away from the reality of your expu,UgxKONoBTV9c1ZVwyJh4AaABAg,0,0,2021-10-18T18:26:56Z,none
38,I feel like you are still a very confused person Gigi. I hope one day you drop the labels and just be you. ❤️,UgwiLvJ9sIJ0EluM0oh4AaABAg,0,4,2021-10-16T07:26:55Z,none
39,"Maybe all we are pansexual, but we haven't discover it because love is universal.",Ugz6Xb3PFztGSSciOHV4AaABAg,0,0,2021-10-10T09:51:16Z,none
40,Me too girl,Ugwzx6g3kiyd1RIn9fx4AaABAg,0,0,2021-10-08T23:23:15Z,none
41,Thank you for telling people they are not alone and being real enough so they can be real too much love from NZ x,UgwIKvSL-ORcT2kM13Z4AaABAg,0,1,2021-10-02T20:58:35Z,none
42,You are beautiful Gigi ❤️,UgxkQrspR9jM1H2C6YV4AaABAg,0,0,2021-09-30T02:43:39Z,none
