Comments,Comment ID,Reply Count,Like Count,Updated At,Host Gender ID
So much make up!!! You are a natural Beauty so tone it down a bit ;),Ugw7WK5y_J606VRTvAp4AaABAg,0,0,2022-05-20T05:48:06Z,2
That sounds so scary. Sorry there is so much BS in this world 💕💕,UgygbjwBdXrZGu5YpsR4AaABAg,0,0,2022-04-30T10:59:24Z,2
Good thing you didn’t go through with it Sir ! 👍,Ugz7fes5DPfr97rd6pd4AaABAg,0,0,2022-04-22T22:10:33Z,2
Live how you want.  Cutting yourself is just nuts.,UgwRUG3pY3b3n2zY7KB4AaABAg,0,0,2022-04-21T04:36:39Z,2
Watching this in 2022 *she said welcome to 2022* creeped out,UgwveeN8c_bygkGmOfd4AaABAg,0,1,2022-03-20T21:35:02Z,2
Lmfao I’m in 2022 lol,UgyJ_ZObe0RGpuai05p4AaABAg,0,1,2022-03-15T11:40:00Z,2
When you watch this in 2022 😅,UgyGrmqFxFx5MDltckh4AaABAg,0,2,2022-03-08T14:11:27Z,2
"Romans 10:13
“For whosoever shall call upon the name of the Lord shall be saved.”",UgxU9pNyQAj9Qu8qpXd4AaABAg,0,0,2022-01-22T19:52:48Z,2
"Romans 10:13
“For whosoever shall call upon the name of the Lord shall be saved.”",Ugy7ksOCT-BVxXBhBp14AaABAg,0,0,2022-01-22T19:52:40Z,2
Gurl! I don’t know if you can say any names? But the doctor in TH that u are talking about is Dr Su…?? Because I was also on the idea that this place was one of the best in the world to get the surgery!,Ugzc5Tee390D251T_Cx4AaABAg,0,0,2022-01-09T20:17:48Z,2
Glad you listen to your gut,UgxIF_lNz6S4R3iIbPh4AaABAg,0,0,2021-09-01T10:56:19Z,2
"Well, your sexuality is like a revolving door. Your a straight woman then a lesbian and then a straight ??? Oh wait the Getty dollars would do that",Ugw9Xy0dn4MK1QgYoVR4AaABAg,0,0,2021-08-13T01:56:28Z,2
Don't do it.. ..you were born that way..,Ugzd1oqN20h153eUuA54AaABAg,0,0,2021-08-06T04:00:49Z,2
"Could u just share the number of the doctor,so that willing people could contact",UgwV0upyGidvgRtJX9h4AaABAg,0,0,2021-07-08T21:57:06Z,2
B,UgxyjC0TvMryvwHmBhR4AaABAg,0,0,2021-06-16T23:24:04Z,2
Even after the surgery you wouldn't be complete,UgyZJguDR9NhK4U5MhF4AaABAg,0,0,2021-06-16T14:22:36Z,2
Your hair is beautiful. Is it your natural hair or a wig??,UgwN2EM7BzJ_NfL_VcF4AaABAg,0,0,2021-05-27T08:10:50Z,2
So glad you listened to your gut ☺️,UgyqrhRY6TunOlNRdWB4AaABAg,0,3,2021-04-13T00:09:09Z,2
"This is actually so helpful, im so glad you've done this because I thought i was the only one with the fear and doubt but knowing its common and one of the strongest trans people I watch has experienced as well just makes it all that much easier. Thank you.",UgxSjLs5iFqETeYe-ux4AaABAg,0,2,2021-04-08T15:17:21Z,2
OMG she talks too much,UgxwfNOjJOjvevO-Jll4AaABAg,0,0,2021-04-07T00:43:53Z,2
Fantasy madness!,UgxI1rLempKTsY9Xxm54AaABAg,0,0,2021-03-06T15:24:46Z,2
So basically you lied because you said you did ..once a liar always a liar,UgwZptIdeUnbB7sDty54AaABAg,0,0,2021-03-04T20:37:10Z,2
Let's see that sausage,UgzAtg1oxxsRpF0pkJ14AaABAg,0,0,2021-03-03T10:29:03Z,2
honey you don't have to explain yourself to us you do you❤️,Ugxyutkef4wQVpC0VQ14AaABAg,0,1,2021-02-28T20:03:20Z,2
"I think you mean you've seen a lot of vulvas, not vaginas lol. Unless you was up in that Thang with an endoscope. 🤣",Ugw4KMg_yCZzv2-9QuB4AaABAg,0,1,2021-02-27T14:23:51Z,2
At my age I think I'm happy where I'm at. GRS isn't the end all. If i was 40 years younger I might have a different perspective.,Ugw3uyXn1nLQn7jsJkV4AaABAg,0,1,2021-02-24T18:52:33Z,2
Always trust your instincts!!,Ugx9Y-hLlq3tu8eC6_N4AaABAg,0,2,2021-02-16T20:38:32Z,2
You're so amazing gigi 💓,UgwrtYr_hValgTUvSuB4AaABAg,0,3,2021-02-12T03:01:40Z,2
"Why waste money and resources for an unnecessary procedure? Furthermore considering the pain and risks, just not worthwhile.",UgyPfjsJ__rU2Pl_bUV4AaABAg,0,0,2021-02-10T07:24:29Z,2
"gigi reconsider bottom surgery ,cause you will dislike dilating and douching for apparent odors. surgeons have'nt perfected this surgery . it will be at least 10 yrs or more to get the real girlie look. you should be like natalie mars she's a beautiful women.  trends now are for de-transitioning, your top is way too large perhaps smallest is best cosmetically  progress not perfection.",UgyWSraDZGKgwH7vkbJ4AaABAg,0,1,2021-01-28T00:27:30Z,2
Omggggg im a smeller as well i sniff everything lol,UgwesBMboYX4Fn8BjjJ4AaABAg,0,0,2021-01-27T02:34:42Z,2
I would’ve asked lavern Cox from oitnb where she got hers done hers looks amazing!!,UgyWlJNMe0xvJ9IFq9x4AaABAg,0,0,2021-01-25T06:57:28Z,2
I LOVE how you jus help people you know with their transitions. Its jus such an amazing thing.🌈🌈🙃,UgzHQxG-d9dtbId7Yqt4AaABAg,0,4,2021-01-23T04:13:03Z,2
What i find odd how anyone with a different opinion is called transphobic.,UgwV_FEg9kOM9groBj14AaABAg,0,1,2021-01-14T09:09:07Z,2
"I just had a wisdom tooth removed and that hurt like hell so i can not imagine cutting off genitalia. In a world where circumcision -removing a bit of skin-is so contested i wonder why it isnt possible for people like you to decide not to cut off your whole reproduction system.
BTW Thailand is such a wonderful place .The people smile and it is always gorgeous. Go there just for the good feeling but dont do the surgery for the reasons you gave. I am def. Sending thjs to trans channels.",UgzfZh4Cc-1OeB4phwF4AaABAg,0,0,2021-01-14T09:08:27Z,2
I am all for avoiding all forms of surgery...totally with you on that one. You are who you are and no mefical procedure will define you. You look amazing !!!,UgzdujO4IV8krGazcJ94AaABAg,0,2,2021-01-14T09:05:09Z,2
Someone who really cares about you will accept you as you come. People who don't accept you won't accept you after the surgery either so Its pretty pointless. Its just a giant risk for something that frankly someone who actually loves you won't make you feel the need to do it.,UgwnqTQ5y0qrMyzZMYF4AaABAg,0,4,2021-01-11T23:17:12Z,2
It's YOUR body and YOUR gender. You are woman and beautiful! I support whatever you decide is best for you.,UgwwTy0amcxFBB1m2FV4AaABAg,0,3,2021-01-09T15:14:12Z,2
Ur a very beautiful young woman from JEFF,UgzJHbfM6rRpWVOAGox4AaABAg,0,0,2020-12-29T15:31:43Z,2
my surgery was 35 years a go in the netherlands in a hospital,UgzCgSvKkTxEWkFwSA54AaABAg,2,1,2020-12-12T23:37:36Z,2
