,Comments,Comment ID,Reply Count,Like Count,Updated At,Viewer Rating
0,"hey all! thanks for watching this video, and thanks to Dollar Shave Club for sponsoring it 😄 remember that you can go to http://dollarshaveclub.com/riley to get your starter set for only $5 🎉",Ugz9jzt5J4jjLShvU7p4AaABAg,3,71,2019-08-18T21:45:11Z,none
1,BARF,Ugzd_kVZVaU1aPOjtYd4AaABAg,0,1,2022-02-26T21:39:02Z,none
2,I just got my first packer,UgxMGheqAY-4HP3C0LN4AaABAg,0,0,2022-02-08T03:17:09Z,none
3,You have a gorgeous neck,Ugy6MozBmlOyv2KCf-54AaABAg,0,0,2021-07-09T01:31:46Z,none
4,You’ll never be a woman,Ugz2pqTxIkMfDjQfBad4AaABAg,1,2,2021-06-10T02:39:36Z,none
5,Saya kira wanita tak tau nya laki laki.,UgwQrPyLEYsqBvJfzEh4AaABAg,0,0,2021-06-07T04:34:56Z,none
6,🤯😵‍💫😵‍💫😵‍💫😵‍💫😵‍💫🤯🤯🤯😵‍💫😵‍💫😵‍💫,UgwhxW6TSB4myaEBeNl4AaABAg,0,0,2021-05-17T02:26:09Z,none
7,I'm a translator and want to translate these subtitles. How?,UgzoUAkVMw-dmmkrtQZ4AaABAg,0,0,2021-04-01T17:25:42Z,none
8,"This is.... 
This is.... 
borrrrrring",UgxynNmvAT28EzXqa8Z4AaABAg,0,3,2021-02-03T03:06:33Z,none
9,❤️❤️❤️,UgzmV4DE8EM9PT7os0l4AaABAg,0,0,2020-10-25T05:34:51Z,none
10,"I just love your videos so much. You know so well how to not complicated things.
It's women like you that make our society less afraid of people who are different than them.
So, once again- thank you! I learn from your videos so much.
When I first met a trans person that didn't came out to her parents yet, I really didn't know how to address to them. It took time for me and I was really afraid to say something that might hurt them.
I could use these videos than. But I didn't.
So, for the next time- I'm happy to learn.
So, once again- thank you so much for keep making these videos!",UgyCzo_vLiT_AFz-OUB4AaABAg,0,11,2020-10-07T18:51:05Z,none
11,This is amazing. Great job!,UgzmCdC9zPzQSnML_GV4AaABAg,0,1,2020-10-04T16:02:26Z,none
12,"I thought I didn't have gender dysphoria, but I started to realize that I've always had it, when I started to notice them and even now I'm like ""oh! so that was it uh...""",Ugxyk49HKSRACO59LD54AaABAg,0,13,2020-08-29T08:49:01Z,none
