,Comments,Comment ID,Reply Count,Like Count,Updated At,Viewer Rating
0,So much make up!!! You are a natural Beauty so tone it down a bit ;),Ugw7WK5y_J606VRTvAp4AaABAg,0,0,2022-05-20T05:48:06Z,none
1,That sounds so scary. Sorry there is so much BS in this world 💕💕,UgygbjwBdXrZGu5YpsR4AaABAg,0,0,2022-04-30T10:59:24Z,none
2,Good thing you didn’t go through with it Sir ! 👍,Ugz7fes5DPfr97rd6pd4AaABAg,0,0,2022-04-22T22:10:33Z,none
3,Live how you want.  Cutting yourself is just nuts.,UgwRUG3pY3b3n2zY7KB4AaABAg,0,0,2022-04-21T04:36:39Z,none
4,Watching this in 2022 *she said welcome to 2022* creeped out,UgwveeN8c_bygkGmOfd4AaABAg,0,1,2022-03-20T21:35:02Z,none
5,Lmfao I’m in 2022 lol,UgyJ_ZObe0RGpuai05p4AaABAg,0,1,2022-03-15T11:40:00Z,none
6,When you watch this in 2022 😅,UgyGrmqFxFx5MDltckh4AaABAg,0,2,2022-03-08T14:11:27Z,none
7,"Romans 10:13
“For whosoever shall call upon the name of the Lord shall be saved.”",UgxU9pNyQAj9Qu8qpXd4AaABAg,0,0,2022-01-22T19:52:48Z,none
8,"Romans 10:13
“For whosoever shall call upon the name of the Lord shall be saved.”",Ugy7ksOCT-BVxXBhBp14AaABAg,0,0,2022-01-22T19:52:40Z,none
9,Gurl! I don’t know if you can say any names? But the doctor in TH that u are talking about is Dr Su…?? Because I was also on the idea that this place was one of the best in the world to get the surgery!,Ugzc5Tee390D251T_Cx4AaABAg,0,0,2022-01-09T20:17:48Z,none
10,Glad you listen to your gut,UgxIF_lNz6S4R3iIbPh4AaABAg,0,0,2021-09-01T10:56:19Z,none
11,"Well, your sexuality is like a revolving door. Your a straight woman then a lesbian and then a straight ??? Oh wait the Getty dollars would do that",Ugw9Xy0dn4MK1QgYoVR4AaABAg,0,0,2021-08-13T01:56:28Z,none
12,Don't do it.. ..you were born that way..,Ugzd1oqN20h153eUuA54AaABAg,0,0,2021-08-06T04:00:49Z,none
