,Comments,Comment ID,Reply Count,Like Count,Updated At,Viewer Rating
0,"Love from India...nd i want to talk about the transaction , can we talk?...",UgxLghVkV0WAwgNOJcB4AaABAg,0,0,2022-05-24T11:57:44Z,none
1,"I'm really happy for u Jamie Bro, not everyone gets the life they want, and a partner who supports no matter what...💪❣️",UgyRsvrO84Dez08kZX14AaABAg,0,0,2022-05-23T16:10:01Z,none
2,"Thank you with all my heart. I was finaly ready to find out. And you are a source of information I trust 
I am pretty sure I'm non-binary. But something tells me there is a possibility I am trans :S That scares me a lot. 
And long before findeing out that Im not cis, I was wondering about this. So now.. Oh dear 
Thank you for helping me in my journey",UgwnPxWPIuiy1dweLdV4AaABAg,0,0,2022-05-21T18:19:27Z,none
3,That's it I'm getting bottom surgery when I can afford it,UgwpDyoNZA2sxB_w63N4AaABAg,0,0,2022-05-21T03:13:31Z,none
4,"As a biological man, I find it interesting to see your idea of what being a man is. Is like if you only have a very stereotypical image of what a man is. I wish you could have better mental health. Having a beard, does not make you a man, having testicles does not make you a man. Having a fake penis does not make you a man, your country spends so much money in these operations when so many people with really health issues need it. Very upsetting to see your county paying for this,.",UgyTZSxx2rYOadPaO1p4AaABAg,1,1,2022-05-24T01:57:45Z,none
5,Eww,UgwVSZ7PjypUzm_EguJ4AaABAg,0,0,2022-05-18T16:27:45Z,none
6,"Why is every photo of surgery results so horrific, it feels like they intentionally take the most bloody/scarred/disfigured/poorly-lit photograph imaginable. I'm considering this for myself, but I can't find images that are post-recovery; I'm trying to find photos that are months/years post-surgery. A ton of photos online are literally mid-surgery.",UgwFyRvp4d0zpmC42CF4AaABAg,0,0,2022-05-14T23:21:52Z,none
7,I found this very interesting. The only thing is he/she can’t really answer accurately when he/she doesn’t know what it actually feels like to have a real penis and balls.,UgwKKagrZgK6Yuiu4qh4AaABAg,0,1,2022-05-14T14:45:18Z,none
8,"I need to know is it possible to still get periods after bottome surgery? Like day you have to stop taking t st some point, is it possible to still some how bleed? Or would it judt be cramps? Or is it just not possible to have it?",UgwXOwTIjgFxs_s3rSZ4AaABAg,0,0,2022-05-14T05:58:55Z,none
9,Question I'm starting testosterone very soon you mentioned micropenis does that mean I will grow one once I start testosterone? I'm asking out of curiosity and I already have been told from blood work from my PCP in 2015 I have high testosterone levels in my blood and don't know why when I'm born a female of course and yes I'm going for top surgery first to start,UgxHZ3xJOzQPPFhDsoh4AaABAg,0,0,2022-05-12T01:31:31Z,none
10,"LOL on the question why did you get a size 8-10 penis, my answer would have been I would never want a woman with a man whole virginia 😅and by the way there are many cis guy's who can't produce sperm, as long as you and your wife is happy that's all that matters, thanks for the informative video handsome brother and for letting us here how stupid people are with their questions, question that they would never ask a cis guy period.",Ugwk54jKYlSZ1r-h37x4AaABAg,0,1,2022-05-10T14:52:20Z,none
11,I have a question for you. If you get merried do you think you can produce babies after this operation,UgwlxvW4IRPAt7s-pBp4AaABAg,0,0,2022-05-10T04:35:44Z,none
12,You're out of breath because youre on fake testo?,UgwxFB8QQoHtaLytIg14AaABAg,0,0,2022-05-09T17:51:17Z,none
13,"I'm slightly confused as to why you thought getting the stuff that would allow you to pee standing up would prevent you from peeing while sat.

I've got a cis penis (okay kinda, and hopefully not forever, but either way point is it's a born penis that's had a male puberty, and used to have sperm) and while I'm still entirely capable of peeing while standing up (although I haven't in at least 6 months now), I definitely can, and always could (so back when I had normal male Testosterone levels) pee sitting down.

Ask any man, cis included, whether they can pee sitting down, and you'll either receive a ""yes"" or they're super toxic and think men aren't allowed to (but they're still physically capable).

Yes it occasionally bumps against the toilet's wall but just sit a tiny bit further back and that's solved",UgwPXcfQiHuBCVcdzG94AaABAg,0,0,2022-05-06T07:26:53Z,none
14,what does sex feel like? i’m trans ftm and want to be able to have lots of feeling if i had penetrative sex,UgwshxY_gq7uGdGEID94AaABAg,0,0,2022-05-06T00:16:52Z,none
15,"Super interesting, thank you for being so open:)",UgxPDgQE-BSTKGYxrHZ4AaABAg,0,0,2022-05-05T19:55:25Z,none
16,You are so wholesome <3,UgzAPOwmVuoIdPL4CJ14AaABAg,0,0,2022-05-02T18:24:23Z,none
17,"Q: Does it look like an eggplant?
A: Well, ...

Q: Does it behave like an eggplant?
A: Well, ...

Q: Can you use it like an eggplant?
A: Well, ... 

Q: But you still want to call it an eggplant?
A: Yes.",UgyiHUACnxUwrmdL04N4AaABAg,0,0,2022-05-01T15:10:03Z,none
18,"So basically the answer to all the questions are. ""It's basically like a cis male."" Dude look it up, you can see the difference for yourself.",UgwJmx9JCmjXGXq74d14AaABAg,0,0,2022-04-23T16:40:39Z,none
19,"Fabulous video, so happy for you!  BTW, I HATE the faint, bell-like background 🎶  music.  Please don't do that!",UgywtDGu1ic5kSPlqXd4AaABAg,0,0,2022-04-23T05:30:58Z,none
20,"When do the chromosomes transform?  wait...they don't?
Does the prostate affect the erection like in a normal penis during climax?    wait...there's no prostate?
If you change your mind, can you get your vag back?
This is sad that someone would do that to their body just to try to be something they're not.",UgxdLp86SoeWgwR0Oy94AaABAg,0,0,2022-04-20T03:53:03Z,none
21,😅😅😅I'm a heterosexual female but this is hilarious,UgzKzhRXcQrvdbIB6x94AaABAg,0,0,2022-04-16T17:30:16Z,none
22,Another option is you can take mine I don’t want it,Ugx3M0dGBre0a--ys9p4AaABAg,0,1,2022-04-14T03:03:07Z,none
23,What do they do with the vagina and cervix when they do bottom surgery?,UgwPv5nHtoNFszJTpkV4AaABAg,0,0,2022-04-13T13:32:51Z,none
24,"As a aro-ace person who doesn’t have the courage to come out, You really make me feel good about myself",UgyKCE4LSPOOCASFM9V4AaABAg,0,2,2022-04-11T14:40:04Z,none
25,Omg that's so sad,UgwoIgQhiIwWJgorbBB4AaABAg,0,0,2022-04-07T18:45:15Z,none
26,Very informative thank you,Ugz8FpmncOPUs-piMqJ4AaABAg,0,0,2022-04-06T22:44:49Z,none
27,I have a dream of being able to rail a girl but I have no other reason to transition so I won't I guess 🤷🏻,UgwQhluu5XibZvKtQ4x4AaABAg,0,0,2022-04-03T22:25:12Z,none
28,"Hearing about your experiences with your balls, how can anyone say you are not a man? Like... I just... The entire time I was just ""Yep, that's what it's like.""
(Please note that this does not mean a trans man needs surgery to be a man.)",Ugxbk6vIFJAr4TuhtzV4AaABAg,0,1,2022-04-02T13:15:05Z,none
