,Comments,Comment ID,Reply Count,Like Count,Updated At,Viewer Rating
0,I just want to die every day I’m constantly suffering I can’t transition let alone wear a binder because I have transphobic parents and can’t tell them how I feel I’m so tempted to just kill my self that would be bette than suffering any longer,UgxHqgGvRKeNxL5bq-Z4AaABAg,0,0,2022-05-16T03:18:54Z,none
1,My friend recently came out as trans and I'm watching ur videos cuz I really wanna understand what it's like for him and Ik u probs won't see this but thank you :),Ugwub1JDGvy-NpWcv1R4AaABAg,0,0,2022-03-01T22:54:24Z,none
2,While I cannot relate to going through Dysphoria I give you 100% praise and respect in sharing your experience with others. Really admirable and awe-inspiring listening to your story. Keep up with the great videos and stay awesome. Many wishes of success and love going out to you!,UgxXxzPUjGwFpuCjmit4AaABAg,0,0,2022-02-10T21:31:07Z,none
3,My parents aren't letting me even change my name. But my friends and girlfriend are using it.,UgwghV-9Jf5zaQ8HFN54AaABAg,0,0,2022-02-02T13:19:29Z,none
4,"Funny...even before I seriously considered that I might be trans, I gravitated towards baseball shirts and other styles that emphasized my shoulders de-emphasized any curves. I didn't do it on purpose. They just made me feel better.",Ugx20hOsS1ArBLu4WZ94AaABAg,0,1,2022-01-24T05:05:57Z,none
5,"also to add to when you were talking about shaving, with females if you shave any hair on your face or anything that isn't supposed to be shaved then it grows back black or just darker after awhile. so if that's something that you want to do then you can keep shaving and eventually have darker hairs grow back in those spots where you shave and get facial hair",Ugxwzc_hiLAwck0AcoJ4AaABAg,0,0,2021-11-27T03:45:02Z,none
6,Thank you for this video! 💖,UgxyEbRjVlZM3HTiTK14AaABAg,0,0,2021-11-11T20:24:52Z,none
7,"Ive been questioning my gender for some months now. The past weeks I have found that my dysphoria has gotten worse the more I start accepting?/questioning if I'm trans. Like, I'll get really happy and euphoric when imagining myself as a boy and then I'll get really sad and stuff when I ask myself ""what if I'm actually cis, what if I'm a g i r l?"". I have other mental issues so its even harder and Im just really confused but also I kind of want to accept that Im trans, and am a boy but then I start doubting myself and start crying because I get so anxious. What if I'm pretending? Is it too early to know? God, I am so confused. I tell myself that I should wait until I feel better mentally (I'm in a very depressive episode, have been for the past weeks) and then I can see if I'm actually trans or if I have been mistaken. Gaaah I just really dont wanna be wrong about this, I have social anxiety so I super wanna be sure of myself before I come out to my school or my family. I have told my closest friend that I think I'm trans and I have given them my new name and that feels so great! But I'm still in a lot of pain the more I long for getting to transition and the more I watch others live happily as who they are. Gah this is frustrating.

(ftm, he/him)",UgxYxAZ-1iliVjEGQs54AaABAg,0,0,2021-10-04T18:09:38Z,none
8,2 years wait list to first appointment of going to a psychologist is like a death sentence,Ugx1V-6mItOBxl5s5Xd4AaABAg,0,1,2021-07-16T22:01:02Z,none
9,"I was talking to my mom about how I wanted to get a pair of wide chinos(pants) cause all my baggier old navy pants were turning into skinny jeans (4 months later) and she says that I grew, referencing not my height but my thighs. As in, 'becoming a woman'. That doesn't happen in 4 months, I need to stop thinking about it I need help just in case",UgwzN6x4GKwIfWfH76d4AaABAg,0,1,2021-05-29T04:01:22Z,none
10,I'm 13 so I cant take T :'),UgyNj2SpcW8PnLXVZRh4AaABAg,1,3,2021-01-18T22:55:09Z,none
11,"ive been watching jammi's channel for a while and have been struggling with dysphoria for a bit, finding this video really made me happy:))",UgydPeYlKPo3Bv6ivJt4AaABAg,1,3,2020-11-23T05:20:10Z,none
12,Moments ago i was crying about dysphoria lol i hate life,UgxN5zenqrWP1ZVG1TF4AaABAg,0,3,2020-09-18T10:38:22Z,none
13,Do you have any tips for dealing with dysphoria while in the closet?,UgzOmU1GFj8e3SQwvtB4AaABAg,0,3,2020-04-25T04:47:37Z,none
14,Honestly my dysphoria is killing me rn but hopefully Its a phase,UgzF5Sdk_M7zu5gbxwl4AaABAg,1,3,2020-04-21T00:07:16Z,none
15,"my mom wants me to wear dresses, do my hair and makeup to attract boys and get a boyfriend..i'm having a mental breakdown, i have a girlfriend and i'm trans ftm, help please?",UgzTloPpuMZhWA9K6tN4AaABAg,0,6,2020-01-22T08:40:28Z,none
16,"Thank you very much, this helps a bunch.
My family doesn't know i'm a ftm and it's a pain.
My dysphoria was blank when I wanted to be with a girl but it recently came back and I can't deal with it anymore.
Mother and father wont let my get boy-short hair because they don't want me to look like a male. 
I can't bind because y mom has a keen eye...and my voice is already deep to where I dont need to worry about it.
I've gotten to the point where i'm getting more and more depressed about this and I had to look for a answer. 
Thank you again.",UgzNpaiEnoD62f-D1sV4AaABAg,0,2,2019-11-30T22:18:09Z,none
17,"thabks for making this video. i’ve never been diagnosed with dysphoria (so i technically are not officially trans, but i’m 99.9999% sure i am. anyways,) i recently have been crushed mentally by my dysphoria and it’s bad, but watching videos really help",UgwDvw7CikoQL8Y-l5F4AaABAg,1,10,2019-10-28T00:03:20Z,none
18,"Lately dysphoria has been  killing me, this is really helpful, thank you",Ugz8-ceXUtrkAYn4JrF4AaABAg,0,10,2019-08-23T22:03:35Z,none
19,I have to wait at least 2 years till I can start t,UgxFo_yYusSy0cCSa1V4AaABAg,3,2,2019-03-06T02:24:42Z,none
20,You remind me so much of Tyler Posey,Ugy7nNBjcfsFtO_zJ014AaABAg,0,0,2018-06-02T06:59:32Z,none
21,I have to wait 3 years to get on T it's so annoying,UgxcX8Msnt6HQimNTMV4AaABAg,0,2,2018-05-05T14:36:45Z,none
22,Currently going through it and finding it hard to tell my parents....  any advice?,UgyW-lZXoU_VCzcovup4AaABAg,3,1,2018-04-23T18:33:04Z,none
23,Ewww I can’t imagine a guy having periods lmfao,UgzM354Dh6sGrav28Zp4AaABAg,1,0,2018-01-03T16:08:26Z,none
24,Wow watching this in december 2017 and you seem so much more comfortable in front of the camera now !,UgxRvEY0hxhUsxrpQXh4AaABAg,0,0,2017-12-14T21:47:54Z,none
25,"Thanks for making this video. My dysphoria is really worsening, I can't even look into a mirror anymore, without wanting to cry and hide in my bed.",UgxiITHPPi8a10d0_4R4AaABAg,8,145,2017-08-10T06:18:45Z,none
