,Comments,Comment ID,Reply Count,Like Count,Updated At,Viewer Rating
0,You're lucky that u born in Sweden and also u started transition at a very early age but I'm the one who's unlucky who's 21 years old but haven't taken any step yet because of financial problems,UgzutqVVZqPDmbpMLEp4AaABAg,0,0,2022-04-27T13:19:53Z,none
1,You do what makes you happy,Ugx-ScZ3kZz4JXi12vd4AaABAg,0,0,2022-04-16T19:29:40Z,none
2,Omgggg I’m so happy for youuu❤️❤️❤️❤️,Ugy8hLbP2zgXHoMpKwx4AaABAg,0,0,2022-04-02T18:22:08Z,none
3,All of you who hate on her shows just how this world is going down it is 2023 and she is beautiful for being herself in every way possible and God may have made her a boy but know that she was a girl in heart and he will love her no matter what so stop trying to hate for you want be able to take back,UgyNtPIeNh-z8MRzBOx4AaABAg,0,0,2022-03-27T05:58:04Z,none
4,Thank you and Respect to you for being Honest. Dont Give Up!! WE Still Love You. I am Confident in what I like I Love Women and you were good lookin' since Birth. Stay Strong and Live Long and Prosper. Adopt!! There are plenty of Kids who need Loving Parents,UgzBhk1b5jmeSUDWZMF4AaABAg,0,0,2022-03-18T16:13:55Z,none
5,y and you are also a very pretty girl te mando un besito...,Ugwi22PGuRE8UkKM5NN4AaABAg,0,0,2022-03-08T17:04:12Z,none
6,"I see you as a girl
I don't have to ask you if you're trans saludos desde Bogota Colombia...espero me escribas.....",UgyLa7i2MScPfuibkF14AaABAg,0,0,2022-03-08T17:01:55Z,none
7,I think you are a pretty girl and if I was young. I would be chasing you. when I said nog judgement  you are just a beautiful girl.,Ugy46UMj1qoV9XFUBmR4AaABAg,0,0,2022-02-22T03:09:45Z,none
8,I am starting my transfer soon please I am going m to f too and scared,UgylkSimLGLyGS5d4KV4AaABAg,0,1,2022-02-08T04:26:08Z,none
9,no judgment . you to me are just a pretty girl that I would watch twist down the street.,UgzVgd1s9nh3L2tjyap4AaABAg,0,1,2022-01-05T00:28:47Z,none
10,"❤️ I am 19 years old boy and I wish it I could actually be a girl then I would be really happy. But actually I am very frustrated and fearing to disclose to my parents about my feelings. Today only while surfing YouTube, this video popped up and really you helped me a lot Mam. I hope I also will be able to come up to my parents very soon to express my feelings. Love from India. ❤️
 I have some questions before I approach my parents, where can I send you those questions so that you may help me Mam ?",UgzANdu3BznU8dgoWrl4AaABAg,1,7,2021-11-02T14:15:29Z,none
11,your shouIders r huge,Ugzs5xb_N9G__IiGHll4AaABAg,0,0,2021-10-29T00:31:09Z,none
12,You're prettier than most biological girls. take pride in it.,Ugw_b1Hc794_ZDrDNlx4AaABAg,0,4,2021-10-25T08:21:05Z,none
13,This is the most beautiful video I've ever watched on youtube. Thank you!,Ugwvp8b7ZEl5KmRPWax4AaABAg,0,0,2021-10-16T00:24:03Z,none
14,Thank you for being visible. We need more trans girls like you for rolemodels,UgyNhnZfM3v7bLNHB_54AaABAg,0,3,2021-09-30T15:17:33Z,none
15,<3 for being you,UgzfgPFti7mlMzTF73l4AaABAg,0,1,2021-09-27T21:22:40Z,none
16,"If people don't like you as you are that's their problem,xxx",UgyvWcVP1mv6syPM-mF4AaABAg,0,0,2021-09-22T07:28:41Z,none
17,You have a very clean and big 💓 heart .,UgzzbdnmaNL3IyL8bed4AaABAg,0,0,2021-09-03T17:51:03Z,none
18,Your very beautiful❤,UgyJTz2jVPdVHjaBxv94AaABAg,0,0,2021-07-10T00:50:28Z,none
19,"Ehi cutie 'don't care about them, just look and pass away' we said in italy. You strong and pure",UgxkyxnOJ_gjPOv4Jph4AaABAg,0,0,2021-07-03T10:54:37Z,none
20,❤️🧡💛💚💙💜,UgwPOs5S1OkMD6DgAS54AaABAg,0,2,2021-06-11T04:30:22Z,none
21,You are right no judgement... you are beautiful,UgzYHPvZv4zglW8KPNJ4AaABAg,0,0,2021-06-06T21:24:56Z,none
22,"First Time Here!, U I’ve A NewSubie🤍",UgxIeH6kKyFrdzCz16J4AaABAg,0,0,2021-05-28T03:31:41Z,none
23,I am also a transperson.,Ugy8Fmz2Re-mzeyTDp94AaABAg,0,1,2021-05-07T17:09:43Z,none
24,Very sad and immoral 😥,UgwN-Nh2SA4VCfdzPvh4AaABAg,0,0,2021-05-01T22:52:29Z,none
25,Your so beautiful. Thank you for being honest,UgyNBnFd8YKDOsZRsOJ4AaABAg,0,0,2021-04-10T18:16:32Z,none
26,"Hi Mathilda, I started following you a few months ago and I just watched this video for the first and, wow, this was so genuine. It was obviously hard for you. Lots of emotions but it was perfect.",UgwzJJPVO4XRXv8nmgt4AaABAg,0,0,2021-03-11T20:01:44Z,none
27,You are beautiful,UgyybAj_KDsMYFrwLFV4AaABAg,0,0,2021-03-11T00:59:28Z,none
28,Are you single? ❤❤❤,Ugxl1hEow10UceXxlp94AaABAg,0,1,2021-02-09T00:13:58Z,none
29,People should judge them self before they judge others around them. You are and will always be a beautiful woman ,Ugw0UQGX2soRzPzUTtp4AaABAg,0,0,2021-02-03T16:59:20Z,none
30,I LOVE and WORSHIP you,UgxwO5Wo3TTNktBb7vR4AaABAg,0,0,2021-01-26T05:11:06Z,none
31,"Form an older trans girl to a younger one, You're doing great, and you're worth it. Stay strong and always do what you can to help those that follow.",UgyEizvbFKtF0bSQYsJ4AaABAg,0,1,2020-12-13T17:39:50Z,none
32,You are a very BEAUTIFUL person. I would never leave you simply because you're transgender. You have a lovely heart. You are very easy to listen to. You are the type of person that I could sit with for hours and converse about any topic. You are so worth listening to.,UgwLOdK-kGGlujNCJEF4AaABAg,0,0,2020-11-13T23:17:27Z,none
33,"We love you Mathilda, wo love you for who you are ❤️",UgyTH3U-mojKcsvKBzF4AaABAg,0,0,2020-09-19T23:18:45Z,none
34,I think you’re beautiful 😍!!!,Ugx75N4wZ0G-UodCCeJ4AaABAg,0,0,2020-08-25T11:39:24Z,none
35,"??? Matilda, has Christian asked for your hand in marriage???  Give YouTube an update.   Take care",Ugy479Oul55-uiBzSGh4AaABAg,0,0,2020-08-21T23:04:48Z,none
36,"You’re a gorgeous, strong woman. That’s literally all that matters ❤️❤️",UgyWG2duQ8oGQOdJstB4AaABAg,0,2,2020-08-15T00:22:46Z,none
37,What else can I say. I think you're hot.,UgzPXtPMf_GX2uHvBEt4AaABAg,0,0,2020-08-14T12:44:26Z,none
38,Thank you 😘😘😘,UgzHdlUOAZ0KUS6BgVd4AaABAg,0,0,2020-08-13T18:05:46Z,none
39,Who cares you are sexy as hell what ever you are. I would be proud to have you on my arm.,UgyXg4q1FfioNWxjPRx4AaABAg,0,0,2020-08-01T12:04:47Z,none
40,Your videos are a huge inspiration and helping me bigtime with my own transition. Tack så mycket!! ❤️❤️❤️,Ugy-zYFw7fGf3awTNjp4AaABAg,0,0,2020-07-23T00:19:04Z,none
41,😭😭😭😭😭😭😭 I’ll never get there.,UgzMtnWGyNCq4E5nZg14AaABAg,1,0,2020-07-22T16:51:55Z,none
42,You are more beautiful now than ever for coming out,UgyST3Rd2KBpKkV20Ht4AaABAg,0,0,2020-07-19T05:48:55Z,none
43,"beautiful attractive woman u fixed ,,WHAT MOTHER FUCKED UP.. LOVE YOUR COURAGE, LADY ,SO BEAUTIFUL",Ugwjdsmvjyqgpd4gjnN4AaABAg,0,0,2020-07-18T18:09:22Z,none
44,Wow! I would have never guessed.,UgwfmFjW_TE1M2VY67N4AaABAg,0,0,2020-07-12T16:32:32Z,none
45,"You are authentic. You are a kind, open, sincere woman.  That comes through clearly in your videos.",UgzlatPKOsAmXrXBT8x4AaABAg,0,1,2020-07-12T10:21:21Z,none
46,A very emotional video! I am so glad for that you are happy now and came out.,UgzA2C60w_qCdWd-czZ4AaABAg,0,0,2020-07-11T00:11:16Z,none
47,"I guess the fact that I'm a 61 year old man that considers himself conservative makes me an unlikely supporter. Nevertheless, I admire your courage to live a public life and I'd like to add that you strike me as a interesting and likable young woman. I hope that you continue to find happiness and support from your family, friends and supporters. As a side comment, I'm actually pretty amused that since I've watched a couple of your videos, the Youtube algorithm now thinks it should fill my suggested queue with other transgender channels. Good luck and be well.",UgyH8cnM2FuPdIhkLSN4AaABAg,0,14,2020-07-08T01:34:20Z,none
48,Are you transgender? :),UgxGwA7Bs6VVp2O5LbZ4AaABAg,3,0,2020-07-03T06:28:49Z,none
49,"Girl, you are amazing who you are no matter what. I'll support you if that helps :)",UgwxENw-gm26URVkZaF4AaABAg,0,0,2020-06-13T19:35:12Z,none
