Comments,Comment ID,Reply Count,Like Count,Updated At,Host Gender ID
clicking on this video and seeing a bra ad,UgxBrS7R1KwdIarX7MR4AaABAg,0,0,2022-04-10T22:18:08Z,1
great video im trans and im getting the flagim happy who i am and i subscribed,UgwAU7kDdqLGnBTIICh4AaABAg,0,0,2022-04-07T02:59:00Z,1
chase are you trans,UgxQB-5Q6WHtY9pDGEN4AaABAg,0,0,2022-03-21T20:30:23Z,1
im a school social worker using this for my own education to help me with my student thank you,UgwxccL6DUDfB0jJcc94AaABAg,0,0,2022-01-26T15:07:42Z,1
again with the flamboyantwhat does that meanhow does a snap queen compare to your gesticulatingsir,UgzfBCWxKXiPG2ZJUFd4AaABAg,0,0,2022-01-17T20:03:46Z,1
i know its not cool to comment on old videosbut i just wanted you to know that i am starting t next monthmy mom is fully supportivebut wants to know more about being trans in generalso i sent her this playlistalsothank you so much for having it all captioned because shes deafi appreciate these videos so much and they helped me learn a lot about being trans and helped me come to the realization that transitioning is right for mei feel like part of me that never got to live will finally be freethank you for all that you do,Ugw98q2gBSsEO_i51kd4AaABAg,1,0,2022-01-14T19:49:07Z,1
bigdeep topic to speak on would behow to explain being trannonbinary in a better way to childrenbeing able to help them understand the difference between what you were assigned at birth and your genderi have a  and  year old and my son absolutely thinks short hair is only for boys and long hair for girlsi want to help him understand better thanpoppa was a girl and now feels best as a boy,Ugz1b1SAJZmsIa8uJFV4AaABAg,0,0,2021-12-15T00:11:56Z,1
do u still suck,UgxuKfjC1ufJLzROcgR4AaABAg,0,0,2021-12-05T08:01:38Z,1
thank you for thisas a mother of of  yonewly coming out personi am trying to learn everything that i cani am terrified for my adult childi also have always wanted the  biological sex  person that they have been to datesothere is a lot of grief that will need to be worked through the greatest being that they have suffered  years wo feeling the freedom to share sonot all of us are haterswe are just stunnedreelingattempting to be supportive and grappling with or own mental health at the same timeyour kind tone for all is a balm,UgyezslGmqD3AqCnPkJ4AaABAg,0,0,2021-12-01T00:09:57Z,1
thanks for making these seriesi am a transwoman living in the philippines and i highly appreciate these videos,UgxoqWYZmc50Loeca5x4AaABAg,0,0,2021-11-28T14:21:01Z,1
ive yet to see an acceptable explanation of what youll say to a person who thought they were transtook hormoneshad surgerythen realized they arent transand they can only superficially transition back since the meds and surgery altered them forever so farall ive seen is the responseyou werent really transthen oh reallysherlock that fixes everythingdoesnt it,Ugy7DyMZa3x1a7daczF4AaABAg,2,1,2021-11-18T20:26:43Z,1
im actually transgender myself im currently watching these with my dad as ive just come out to him,Ugz13S4nhhI-5Zkt8aJ4AaABAg,0,1,2021-10-27T09:47:37Z,1
thank you so much for this videochasei am trying to explain  the transgender experience is to my  chinese immigrant familymy parents have come a long way but it is still difficult to bridge the gap of their generation and traditions with us american born kidswe have someone who is transitioning right now and i would really like my family to gain more empathy so they dont alienate himi am sending them this video so they arent bombarding him with questions or making judgements without being educated firstthis is such a clearconcise video so im hoping this video will get the message across even though their english isnt perfectim sure this took a lot of work and you told it with such understanding and joy that i have faith it will get through to even the most closeminded people,UgwCf13gkXVLmiWISm54AaABAg,1,0,2021-10-14T13:13:01Z,1
how are children altered in the wombinutero,UgzjJLXtqOQKvoBYEmh4AaABAg,0,0,2021-10-01T21:37:46Z,1
the first time i watched this seriesi was scaredlonelyand doubtfulnow i can send it to my sister because im out to herand i am hopeful and have a solidish plan,Ugw8DEImkgwTafe20T14AaABAg,0,0,2021-09-07T05:10:47Z,1
