Comments,Comment ID,Reply Count,Like Count,Updated At,Host Gender ID
clicking on this video and seeing a bra ad,UgxBrS7R1KwdIarX7MR4AaABAg,0,0,2022-04-10T22:18:08Z,1
Great video I’m trans and I’m getting the flag. I’m happy who I am and I subscribed.,UgwAU7kDdqLGnBTIICh4AaABAg,0,0,2022-04-07T02:59:00Z,1
Chase are you trans,UgxQB-5Q6WHtY9pDGEN4AaABAg,0,0,2022-03-21T20:30:23Z,1
I'm a school social worker using this for my own education to help me with my student.  Thank you,UgwxccL6DUDfB0jJcc94AaABAg,0,0,2022-01-26T15:07:42Z,1
"Again with the ‘flamboyant’? What does that mean? How does a snap queen compare to your gesticulating, sir?",UgzfBCWxKXiPG2ZJUFd4AaABAg,0,0,2022-01-17T20:03:46Z,1
"I know it's not ""cool"" to comment on old videos, but I just wanted you to know that I am starting T next month!! My mom is fully supportive, but wants to know more about being trans in general, so I sent her this playlist. Also, thank you so much for having it all captioned because she's deaf. I appreciate these videos SO much and they helped me learn a lot about being trans and helped me come to the realization that transitioning is right for me. I feel like part of me that never got to live will finally be free. Thank you for all that you do. 💜",Ugw98q2gBSsEO_i51kd4AaABAg,1,0,2022-01-14T19:49:07Z,1
Big/deep topic to speak on would be.... How to explain being tran/nonbinary in a better way to children. Being able to help them understand the difference between what you were assigned at birth and your gender. I have a 6 and 5 year old and my son absolutely thinks short hair is only for boys and long hair for girls. I want to help him understand better than. Poppa was a girl and now feels best as a boy.,Ugz1b1SAJZmsIa8uJFV4AaABAg,0,0,2021-12-15T00:11:56Z,1
Do u still suck????,UgxuKfjC1ufJLzROcgR4AaABAg,0,0,2021-12-05T08:01:38Z,1
"Thank you for this. As a mother of of 32 yo. Newly coming out person, I am trying to learn everything that I can. I am TERRIFIED for my adult child. I also have ALWAYS wanted the ( biological sex ) person that they have been to date. So, there is a LOT of grief that will need to be worked through. ( The greatest being that they have suffered 32 years w/o feeling the freedom to share.) So, not all of us are Haters. We are just stunned, reeling, attempting to be supportive and grappling with or own mental health at the same time. Your kind tone for all is a balm.",UgyezslGmqD3AqCnPkJ4AaABAg,0,0,2021-12-01T00:09:57Z,1
thanks for making these series! I am a transwoman living in the Philippines and I highly appreciate these videos! 😘😘😘,UgxoqWYZmc50Loeca5x4AaABAg,0,0,2021-11-28T14:21:01Z,1
"I’ve yet to see an acceptable explanation of what you’ll say to a person who thought they were trans, took hormones, had surgery, then realized they aren’t trans, and they can only superficially transition back since the meds and surgery altered them forever.  So far, all I’ve seen is the response, “you weren’t really trans, then.”  Oh really, Sherlock.  That fixes everything, doesn’t it.",Ugy7DyMZa3x1a7daczF4AaABAg,2,1,2021-11-18T20:26:43Z,1
I`m actually transgender myself I`m currently watching these with my dad as I`ve just come out to him,Ugz13S4nhhI-5Zkt8aJ4AaABAg,0,1,2021-10-27T09:47:37Z,1
"Thank you so much for this video, Chase! I am trying to explain  the transgender experience is to my  Chinese immigrant family. My parents have come a long way but it is still difficult to bridge the gap of their generation and traditions with us American born kids. We have someone who is transitioning right now and I would really like my family to gain more empathy so they don't alienate him. I am sending them this video so they aren't bombarding him with questions or making judgements without being educated first. This is such a clear, concise video so I'm hoping this video will get the message across even though their English isn't perfect. I'm sure this took a lot of work and you told it with such understanding and joy that I have faith it will get through to even the most closeminded people! <3",UgwCf13gkXVLmiWISm54AaABAg,1,0,2021-10-14T13:13:01Z,1
How are children altered in the womb.... in-utero?,UgzjJLXtqOQKvoBYEmh4AaABAg,0,0,2021-10-01T21:37:46Z,1
"the first time i watched this series, i was scared, lonely, and doubtful. now i can send it to my sister because i'm out to her, and i am hopeful and have a solid(ish) plan.",Ugw8DEImkgwTafe20T14AaABAg,0,0,2021-09-07T05:10:47Z,1
