,Comments,Comment ID,Reply Count,Like Count,Updated At,Viewer Rating
0,"I came out at work late last summer as MTF after being at The Job for ~5 years..  Most folks adjusted RIGHT AWAY, others took time to adjust, both in name and in gender reference; which was cool.  I understood and granted my coworkers the necessary grace period to get used to the adjustment period.  After all, we'd worked together for 3+ years, and I was willing to give them thay adjustment period . . .",Ugw6HUUIBxnaj3S9U9x4AaABAg,0,0,2022-02-28T23:35:30Z,none
1,I'm nonbinary,UgwpaS2WT0tWwkKCqOJ4AaABAg,0,0,2022-02-13T06:08:17Z,none
2,"I have a friend at school who still misgenders me but I don’t know if I should correct her. She’s 2 years younger than me so idk if she fully understands, but she says she supports me so I don’t want to be rude",UgxmeAWK-4pKchPF50R4AaABAg,0,0,2022-01-25T20:55:56Z,none
3,"I get like, it takes time for people to call you your preferred pronouns but when it come to some people *cough* my stepmom *cough* *cough* say “oh maybe to other people you can be ‘they’ but to me you’ll always be ‘she’ I’m trained on ‘she’ so that’s what I’m calling you” 
My stepmom did this to both me AND my stepsister (my pronouns are they/he/she and my stepsisters is they/them) and it just hurts so much that she’s not even willing to try… and the fact that my stepsister told her their pronouns on CHRISTMAS EVE and that’s the exact response that they got.. I can’t tell you the the sadness on both of mine and my stepsisters face.. it’s heartbreaking :(",UgzwHv6f6zV1G5ZOc9x4AaABAg,0,1,2022-01-06T17:41:13Z,none
4,"I mean I’m trans but I’m also gender fluid so I don’t really care if people mess up my pronouns ( that does not mean that I don’t care if I mess up others pronouns, just wanted to clear that up ( I really don’t want to sound rude) 😣",UgwuicwbPdQZN0k6o-N4AaABAg,0,0,2021-12-28T09:11:54Z,none
5,I’m finally coming out. I’m still suffering with my dysphoria I’m a mtf. It’s been so long my brother accepts me it’s hard that the costumers   Say to me he/him. I can’t tell my parents yet there are in alot of pain fighting and my grandma is sick. Getting help from my psychiatrist,Ugx3R0cOIq_xPW83xKd4AaABAg,0,0,2021-11-14T23:43:22Z,none
6,"I used to misgender myself after finally accepting myself,",UgxgDbqLu_0uoQk-8Ft4AaABAg,0,0,2021-06-18T15:09:28Z,none
7,"One thing that helps me is think of them as a new person. Cause a lot of the time at least in my case with my friends and family when they came out that is the first time they/he/she/etc.. showed their true self and so it has been like getting to know that person all over again, starting from the beginning.",UgxkBI-mrCHpZ6UcnUZ4AaABAg,0,0,2021-05-30T06:23:31Z,none
8,"Watching this video series with Swedish subtitles on, to see if it's ""good enough"" to send my parents. I'm so damn happy and feel so validated that whomever subtitled this uses both our words for ""they"" (de/hen)! I personally prefer the ""plural"" they in singular (works the same as english they), but I've literally never heard anyone else use it & I just find it so awkward when people use our, still too new word, ""hen"" (singular they, invented in the 60's, but didn't start getting used by ""all"" until this century)

EDIT: I've already sent them this series. I know it's like 4y/o, but so far only the non-binary episode (I jumped ahead to that, since I'm non-binary) was outdated. The rest is great!",UgwZ4-U_cyeqh-ztnoh4AaABAg,0,0,2021-05-25T16:50:33Z,none
9,My best friend is a trans man named peter and I just about jumped out of my skin haha,UgxgNFO0biOSOILyFz54AaABAg,0,0,2021-03-03T19:50:41Z,none
10,"""Rude as beep.""
I'm going to use this!

Using someone's old name is the lowest blow you can hit.",UgwEKT31kJveyaQDKqZ4AaABAg,0,0,2021-01-29T16:07:34Z,none
11,"I know some people use they/them pronouns for anyone whose pronouns they don't know. While I think this is a good idea, it should be said that the moment a person makes their pronouns known, you should start making the effort to use those pronouns. I know someone who uses they/them for anyone who isn't a cis male and it is incredibly frustrating to have to correct them every time they talk about other people.",UgyLmGOdZlJ6y-kdwyt4AaABAg,0,0,2021-01-19T15:38:14Z,none
